Artist	Album	Year	Genre	Style	Ratings
Various Artists	The DFA Remixes: Chapter Two	2006	Electronic	Leftfield	8,2
Arthur Russell	Springfield	2006	Electronic	Leftfield	8,2
Various Artists	Funky Nassau: The Compass Point Story 1980-1986	2008	Electronic	Leftfield	8,2
Syclops	I've Got My Eye on You	2008	Electronic	Leftfield	8,2
These New Puritans	Hidden	2010	Electronic	Leftfield	8,2
Clams Casino	Instrumental Mixtape	2011	Electronic	Leftfield	8,2
Balam Acab	Wander / Wonder	2011	Electronic	Leftfield	8,2
Mouse on Mars	Parastrophics	2012	Electronic	Leftfield	8,2
Mac DeMarco	2	2012	Electronic	Leftfield	8,2
Primal Scream	XTRMNTR	2000	Electronic	Leftfield	8,1
kpt.michi.gan	Player, Player	2003	Electronic	Leftfield	8,1
Felix Kubin	Matki Wandalki	2004	Electronic	Leftfield	8,1
Hot Chip	The Warning	2006	Electronic	Leftfield	8,1
Four Tet	DJ Kicks	2006	Electronic	Leftfield	8,1
Apparat	Walls	2007	Electronic	Leftfield	8,1
The Mae Shi	HLLLYH	2008	Electronic	Leftfield	8,1
Quiet Village	Silent Movie	2008	Electronic	Leftfield	8,1
Passion Pit	Manners	2009	Electronic	Leftfield	8,1
Mungolian Jet Set	We Gave It All Away, Now We Are Taking It Back	2009	Electronic	Leftfield	8,1
Mi Ami	Steal Your Face	2010	Electronic	Leftfield	8,1
Nguzunguzu	The Perfect Lullaby	2011	Electronic	Leftfield	8,1
Daughn Gibson	All Hell	2012	Electronic	Leftfield	8,1
A Certain Ratio	Sextet	2014	Electronic	Leftfield	8,1
Goldfrapp	Felt Mountain	2000	Electronic	Leftfield	8
Princess Superstar	Princess Superstar Is	2002	Electronic	Leftfield	8
Mouse on Mars	Rost Pocks: The EP Collection	2003	Electronic	Leftfield	8
Fly Pan Am	N'ecoutez Pas	2004	Electronic	Leftfield	8
Earlimart	Treble & Tremble	2004	Electronic	Leftfield	8
Out Hud	Let Us Never Speak of It Again	2005	Electronic	Leftfield	8
Colleen	The Golden Morning Breaks	2005	Electronic	Leftfield	8
Mouse on Mars	Live04	2005	Electronic	Leftfield	8
Barbara Morgenstern	The Grass Is Always Greener	2006	Electronic	Leftfield	8
!!!	Myth Takes	2007	Electronic	Leftfield	8
Majical Cloudz	Are You Alone?	2015	Electronic	Leftfield	8
How to Dress Well	Can't See My Own Face - The Eternal Love 2	2010	Electronic	Leftfield	8
Glasser	Ring	2010	Electronic	Leftfield	8
Jon McMillion	Jon McMillion LP	2010	Electronic	Leftfield	8
Hot Chip	In Our Heads	2012	Electronic	Leftfield	8
Holy Other	Held	2012	Electronic	Leftfield	8
Doldrums	Lesser Evil	2013	Electronic	Leftfield	8
Shlohmo	Laid Out EP	2013	Electronic	Leftfield	8
James Blake	Overgrown	2013	Electronic	Leftfield	8
Caribou	Start Breaking My Heart	2006	Electronic	Leftfield	7,9
